Time,BT,Acc1,Acc2,Acc3,Gyr1,Gyr2,Gyr3,Att1,Att2,Att3,Gra1,Gra2,Gra3,Mag1,Mag2,Mag3,Mag4,Alt1,Alt2,Hea1,Hea2,Hea3,Hea4,Hea5,Hea6
0.000,-77,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.003,-77,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.031,-77,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.051,-77,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.063,-77,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.064,-77,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.065,-77,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.067,-59,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.069,-59,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.195,-50,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.196,-51,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.253,-63,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.255,-63,-0.0286407470703125,-0.520721435546875,-0.8189697265625,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.281,-63,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.3254505395889282,0.13167120516300201,0.23903176188468933,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.301,-63,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.5045223345772551,-0.018996466214519562,2.016146662111946,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.312,-63,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,-0.016628609970211983,-0.48338934779167175,-0.8752475380897522,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.313,-63,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-10.326215744018555,-46.67715072631836,-31.518310546875,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.313,-63,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.321,-50,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.323,-50,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.353,-62,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.355,-62,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.450,-50,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.452,-50,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.482,-64,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.483,-64,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.503,-64,0.0445404052734375,-0.4576416015625,-0.9312591552734375,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.530,-64,0.00787353515625,-0.4474945068359375,-0.8924102783203125,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.546,-50,0.00787353515625,-0.4474945068359375,-0.8924102783203125,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.548,-50,0.00787353515625,-0.4474945068359375,-0.8924102783203125,-0.021080518141388893,0.1910996437072754,0.0454082265496254,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.550,-50,0.00787353515625,-0.4474945068359375,-0.8924102783203125,0.06611829996109009,0.08773011714220047,0.002029062481597066,0.4692682096564367,0.02186190390779673,2.0419119203810894,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.562,-50,0.00787353515625,-0.4474945068359375,-0.8924102783203125,0.06611829996109009,0.08773011714220047,0.002029062481597066,0.4740793265198836,0.023788490231216805,2.037679286938,0.019497066736221313,-0.4522337317466736,-0.8916863203048706,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.563,-50,0.00787353515625,-0.4474945068359375,-0.8924102783203125,0.06611829996109009,0.08773011714220047,0.002029062481597066,0.4740793265198836,0.023788490231216805,2.037679286938,0.021162942051887512,-0.4565195143222809,-0.8894616365432739,-9.79338264465332,-44.927494049072266,-33.4632568359375,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.564,-50,0.00787353515625,-0.4474945068359375,-0.8924102783203125,0.06611829996109009,0.08773011714220047,0.002029062481597066,0.4740793265198836,0.023788490231216805,2.037679286938,0.021162942051887512,-0.4565195143222809,-0.8894616365432739,-9.703075408935547,-45.00619125366211,-33.2890625,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.604,-64,0.00787353515625,-0.4474945068359375,-0.8924102783203125,0.06611829996109009,0.08773011714220047,0.002029062481597066,0.4740793265198836,0.023788490231216805,2.037679286938,0.021162942051887512,-0.4565195143222809,-0.8894616365432739,-9.703075408935547,-45.00619125366211,-33.2890625,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.606,-64,0.00787353515625,-0.4474945068359375,-0.8924102783203125,0.06611829996109009,0.08773011714220047,0.002029062481597066,0.4740793265198836,0.023788490231216805,2.037679286938,0.021162942051887512,-0.4565195143222809,-0.8894616365432739,-9.703075408935547,-45.00619125366211,-33.2890625,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.673,-50,0.00787353515625,-0.4474945068359375,-0.8924102783203125,0.06611829996109009,0.08773011714220047,0.002029062481597066,0.4740793265198836,0.023788490231216805,2.037679286938,0.021162942051887512,-0.4565195143222809,-0.8894616365432739,-9.703075408935547,-45.00619125366211,-33.2890625,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.674,-50,0.00787353515625,-0.4474945068359375,-0.8924102783203125,0.06611829996109009,0.08773011714220047,0.002029062481597066,0.4740793265198836,0.023788490231216805,2.037679286938,0.021162942051887512,-0.4565195143222809,-0.8894616365432739,-9.703075408935547,-45.00619125366211,-33.2890625,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.736,-63,0.00787353515625,-0.4474945068359375,-0.8924102783203125,0.06611829996109009,0.08773011714220047,0.002029062481597066,0.4740793265198836,0.023788490231216805,2.037679286938,0.021162942051887512,-0.4565195143222809,-0.8894616365432739,-9.703075408935547,-45.00619125366211,-33.2890625,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.740,-63,0.00787353515625,-0.4474945068359375,-0.8924102783203125,0.06611829996109009,0.08773011714220047,0.002029062481597066,0.4740793265198836,0.023788490231216805,2.037679286938,0.021162942051887512,-0.4565195143222809,-0.8894616365432739,-9.703075408935547,-45.00619125366211,-33.2890625,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
0.768,-55,0.00787353515625,-0.4474945068359375,-0.8924102783203125,0.06611829996109009,0.08773011714220047,0.002029062481597066,0.4740793265198836,0.023788490231216805,2.037679286938,0.021162942051887512,-0.4565195143222809,-0.8894616365432739,-9.703075408935547,-45.00619125366211,-33.2890625,high,-0.06076812744140625,99.98619842529297,145.34661865234375,155.93077087402344,15.290328025817871,-10.012350082397461,-54.84271240234375,-14.488922119140625
