Time,BT,Acc1,Acc2,Acc3,Gyr1,Gyr2,Gyr3,Att1,Att2,Att3,Gra1,Gra2,Gra3,Mag1,Mag2,Mag3,Mag4,Alt1,Alt2,Hea1,Hea2,Hea3,Hea4,Hea5,Hea6
0.000,-65,0.0131378173828125,-0.1556396484375,-1.013641357421875,-0.013549896888434887,-0.0002596582053229213,-0.003989148885011673,0.16565054902668858,0.015048299821305173,0.3196269258440453,0.014841747470200062,-0.1648940145969391,-0.9861996173858643,13.32794189453125,-14.623748779296875,-36.84440612792969,high,0.04491424560546875,100.25767517089844,,,,,,
0.003,-65,0.0131378173828125,-0.1556396484375,-1.013641357421875,-0.013549896888434887,-0.0002596582053229213,-0.003989148885011673,0.16565054902668858,0.015048299821305173,0.3196269258440453,0.014841747470200062,-0.1648940145969391,-0.9861996173858643,13.32794189453125,-14.623748779296875,-36.84440612792969,high,0.04491424560546875,100.25767517089844,,,,,,
0.005,-65,0.0131378173828125,-0.1556396484375,-1.013641357421875,-0.013549896888434887,-0.0002596582053229213,-0.003989148885011673,0.16565054902668858,0.015048299821305173,0.3196269258440453,0.014841747470200062,-0.1648940145969391,-0.9861996173858643,13.32794189453125,-14.623748779296875,-36.84440612792969,high,0.04491424560546875,100.25767517089844,,,,,,
0.006,-65,0.0131378173828125,-0.1556396484375,-1.013641357421875,-0.013549896888434887,-0.0002596582053229213,-0.003989148885011673,0.16565054902668858,0.015048299821305173,0.3196269258440453,0.014841747470200062,-0.1648940145969391,-0.9861996173858643,13.32794189453125,-14.623748779296875,-36.84440612792969,high,0.04491424560546875,100.25767517089844,,,,,,
0.007,-65,0.0131378173828125,-0.1556396484375,-1.013641357421875,-0.013549896888434887,-0.0002596582053229213,-0.003989148885011673,0.16565054902668858,0.015048299821305173,0.3196269258440453,0.014841747470200062,-0.1648940145969391,-0.9861996173858643,13.32794189453125,-14.623748779296875,-36.84440612792969,high,0.04491424560546875,100.25767517089844,,,,,,
0.249,-65,0.0303192138671875,-0.1778106689453125,-0.9910430908203125,-0.013549896888434887,-0.0002596582053229213,-0.003989148885011673,0.16565054902668858,0.015048299821305173,0.3196269258440453,0.014841747470200062,-0.1648940145969391,-0.9861996173858643,13.32794189453125,-14.623748779296875,-36.84440612792969,high,0.04491424560546875,100.25767517089844,,,,,,
0.251,-65,0.0303192138671875,-0.1778106689453125,-0.9910430908203125,0.04142147675156593,0.030733678489923477,-0.032814137637615204,0.16565054902668858,0.015048299821305173,0.3196269258440453,0.014841747470200062,-0.1648940145969391,-0.9861996173858643,13.32794189453125,-14.623748779296875,-36.84440612792969,high,0.04491424560546875,100.25767517089844,,,,,,
0.253,-65,0.0303192138671875,-0.1778106689453125,-0.9910430908203125,0.04142147675156593,0.030733678489923477,-0.032814137637615204,0.16288159276746714,0.0034041409673146706,0.3242569968087465,0.014841747470200062,-0.1648940145969391,-0.9861996173858643,13.32794189453125,-14.623748779296875,-36.84440612792969,high,0.04491424560546875,100.25767517089844,,,,,,
0.254,-65,0.0303192138671875,-0.1778106689453125,-0.9910430908203125,0.04142147675156593,0.030733678489923477,-0.032814137637615204,0.16288159276746714,0.0034041409673146706,0.3242569968087465,0.003359077498316765,-0.16216233372688293,-0.9867583513259888,13.32794189453125,-14.623748779296875,-36.84440612792969,high,0.04491424560546875,100.25767517089844,,,,,,
0.255,-65,0.0303192138671875,-0.1778106689453125,-0.9910430908203125,0.04142147675156593,0.030733678489923477,-0.032814137637615204,0.16288159276746714,0.0034041409673146706,0.3242569968087465,0.003359077498316765,-0.16216233372688293,-0.9867583513259888,12.912704467773438,-14.7576904296875,-36.83131408691406,high,0.04491424560546875,100.25767517089844,,,,,,
0.499,-65,-0.000335693359375,-0.1527252197265625,-0.935577392578125,0.04142147675156593,0.030733678489923477,-0.032814137637615204,0.16288159276746714,0.0034041409673146706,0.3242569968087465,0.003359077498316765,-0.16216233372688293,-0.9867583513259888,12.912704467773438,-14.7576904296875,-36.83131408691406,high,0.04491424560546875,100.25767517089844,,,,,,
0.501,-65,-0.000335693359375,-0.1527252197265625,-0.935577392578125,0.1653575301170349,0.06478245556354523,-0.04589265584945679,0.16288159276746714,0.0034041409673146706,0.3242569968087465,0.003359077498316765,-0.16216233372688293,-0.9867583513259888,12.912704467773438,-14.7576904296875,-36.83131408691406,high,0.04491424560546875,100.25767517089844,,,,,,
0.504,-65,-0.000335693359375,-0.1527252197265625,-0.935577392578125,0.1653575301170349,0.06478245556354523,-0.04589265584945679,0.1612019780379044,0.009589810356454209,0.33518731595764184,0.003359077498316765,-0.16216233372688293,-0.9867583513259888,12.912704467773438,-14.7576904296875,-36.83131408691406,high,0.04491424560546875,100.25767517089844,,,,,,
0.505,-65,-0.000335693359375,-0.1527252197265625,-0.935577392578125,0.1653575301170349,0.06478245556354523,-0.04589265584945679,0.1612019780379044,0.009589810356454209,0.33518731595764184,0.009465334005653858,-0.16050471365451813,-0.9869896769523621,12.912704467773438,-14.7576904296875,-36.83131408691406,high,0.04491424560546875,100.25767517089844,,,,,,
0.506,-65,-0.000335693359375,-0.1527252197265625,-0.935577392578125,0.1653575301170349,0.06478245556354523,-0.04589265584945679,0.1612019780379044,0.009589810356454209,0.33518731595764184,0.009465334005653858,-0.16050471365451813,-0.9869896769523621,13.108154296875,-14.819778442382812,-37.058013916015625,high,0.04491424560546875,100.25767517089844,,,,,,
0.750,-65,0.0343780517578125,-0.1566925048828125,-1.0137176513671875,0.1653575301170349,0.06478245556354523,-0.04589265584945679,0.1612019780379044,0.009589810356454209,0.33518731595764184,0.009465334005653858,-0.16050471365451813,-0.9869896769523621,13.108154296875,-14.819778442382812,-37.058013916015625,high,0.04491424560546875,100.25767517089844,,,,,,
0.753,-65,0.0343780517578125,-0.1566925048828125,-1.0137176513671875,-0.05501424893736839,0.06900356709957123,-0.02149224281311035,0.1612019780379044,0.009589810356454209,0.33518731595764184,0.009465334005653858,-0.16050471365451813,-0.9869896769523621,13.108154296875,-14.819778442382812,-37.058013916015625,high,0.04491424560546875,100.25767517089844,,,,,,
0.756,-65,0.0343780517578125,-0.1566925048828125,-1.0137176513671875,-0.05501424893736839,0.06900356709957123,-0.02149224281311035,0.16124123062194265,0.021538204376024092,0.33905455635898885,0.009465334005653858,-0.16050471365451813,-0.9869896769523621,13.108154296875,-14.819778442382812,-37.058013916015625,high,0.04491424560546875,100.25767517089844,,,,,,
0.757,-65,0.0343780517578125,-0.1566925048828125,-1.0137176513671875,-0.05501424893736839,0.06900356709957123,-0.02149224281311035,0.16124123062194265,0.021538204376024092,0.33905455635898885,0.021257184445858,-0.16054345667362213,-0.9867998361587524,13.108154296875,-14.819778442382812,-37.058013916015625,high,0.04491424560546875,100.25767517089844,,,,,,
0.759,-65,0.0343780517578125,-0.1566925048828125,-1.0137176513671875,-0.05501424893736839,0.06900356709957123,-0.02149224281311035,0.16124123062194265,0.021538204376024092,0.33905455635898885,0.021257184445858,-0.16054345667362213,-0.9867998361587524,13.508087158203125,-14.897567749023438,-36.66215515136719,high,0.04491424560546875,100.25767517089844,,,,,,
0.887,-65,0.0343780517578125,-0.1566925048828125,-1.0137176513671875,-0.05501424893736839,0.06900356709957123,-0.02149224281311035,0.16124123062194265,0.021538204376024092,0.33905455635898885,0.021257184445858,-0.16054345667362213,-0.9867998361587524,13.508087158203125,-14.897567749023438,-36.66215515136719,high,0.04491424560546875,100.25767517089844,,,,,,
0.918,-65,0.0343780517578125,-0.1566925048828125,-1.0137176513671875,-0.05501424893736839,0.06900356709957123,-0.02149224281311035,0.16124123062194265,0.021538204376024092,0.33905455635898885,0.021257184445858,-0.16054345667362213,-0.9867998361587524,13.508087158203125,-14.897567749023438,-36.66215515136719,high,0.04491424560546875,100.25767517089844,,,,,,
0.921,-65,0.0343780517578125,-0.1566925048828125,-1.0137176513671875,-0.05501424893736839,0.06900356709957123,-0.02149224281311035,0.16124123062194265,0.021538204376024092,0.33905455635898885,0.021257184445858,-0.16054345667362213,-0.9867998361587524,13.508087158203125,-14.897567749023438,-36.66215515136719,high,0.04491424560546875,100.25767517089844,,,,,,
