Time,BT,Acc1,Acc2,Acc3,Gyr1,Gyr2,Gyr3,Att1,Att2,Att3,Gra1,Gra2,Gra3,Mag1,Mag2,Mag3,Mag4,Alt1,Alt2,Hea1,Hea2,Hea3,Hea4,Hea5,Hea6
0.000,-53,-0.110687255859375,-0.8452911376953125,-0.5380859375,0.021193701773881912,0.02659459225833416,-0.03056829608976841,1.007364847622795,-0.19154711952063866,1.7848916196079057,-0.10167903453111649,-0.845427393913269,-0.5243223309516907,-4.751834869384766,-48.33589553833008,-9.669057846069336,high,-0.0872039794921875,99.75690460205078,165.3970489501953,176.1696319580078,11.872239112854004,-2.0946388244628906,-49.275936126708984,-0.10172629356384277
0.038,-53,-0.110687255859375,-0.8452911376953125,-0.5380859375,0.021193701773881912,0.02659459225833416,-0.03056829608976841,1.007364847622795,-0.19154711952063866,1.7848916196079057,-0.10167903453111649,-0.845427393913269,-0.5243223309516907,-4.751834869384766,-48.33589553833008,-9.669057846069336,high,-0.0872039794921875,99.75690460205078,165.3970489501953,176.1696319580078,11.872239112854004,-2.0946388244628906,-49.275936126708984,-0.10172629356384277
0.056,-53,-0.110687255859375,-0.8452911376953125,-0.5380859375,0.021193701773881912,0.02659459225833416,-0.03056829608976841,1.007364847622795,-0.19154711952063866,1.7848916196079057,-0.10167903453111649,-0.845427393913269,-0.5243223309516907,-4.751834869384766,-48.33589553833008,-9.669057846069336,high,-0.0872039794921875,99.75690460205078,165.3970489501953,176.1696319580078,11.872239112854004,-2.0946388244628906,-49.275936126708984,-0.10172629356384277
0.063,-61,-0.110687255859375,-0.8452911376953125,-0.5380859375,0.021193701773881912,0.02659459225833416,-0.03056829608976841,1.007364847622795,-0.19154711952063866,1.7848916196079057,-0.10167903453111649,-0.845427393913269,-0.5243223309516907,-4.751834869384766,-48.33589553833008,-9.669057846069336,high,-0.0872039794921875,99.75690460205078,165.3970489501953,176.1696319580078,11.872239112854004,-2.0946388244628906,-49.275936126708984,-0.10172629356384277
0.066,-61,-0.110687255859375,-0.8452911376953125,-0.5380859375,0.021193701773881912,0.02659459225833416,-0.03056829608976841,1.007364847622795,-0.19154711952063866,1.7848916196079057,-0.10167903453111649,-0.845427393913269,-0.5243223309516907,-4.751834869384766,-48.33589553833008,-9.669057846069336,high,-0.0872039794921875,99.75690460205078,165.3970489501953,176.1696319580078,11.872239112854004,-2.0946388244628906,-49.275936126708984,-0.10172629356384277
0.070,-61,-0.110687255859375,-0.8452911376953125,-0.5380859375,0.021193701773881912,0.02659459225833416,-0.03056829608976841,1.007364847622795,-0.19154711952063866,1.7848916196079057,-0.10167903453111649,-0.845427393913269,-0.5243223309516907,-4.751834869384766,-48.33589553833008,-9.669057846069336,high,-0.0872039794921875,99.75690460205078,165.3970489501953,176.1696319580078,11.872239112854004,-2.0946388244628906,-49.275936126708984,-0.10172629356384277
0.072,-61,-0.110687255859375,-0.8452911376953125,-0.5380859375,0.021193701773881912,0.02659459225833416,-0.03056829608976841,1.007364847622795,-0.19154711952063866,1.7848916196079057,-0.10167903453111649,-0.845427393913269,-0.5243223309516907,-4.751834869384766,-48.33589553833008,-9.669057846069336,high,-0.0872039794921875,99.75690460205078,165.3970489501953,176.1696319580078,11.872239112854004,-2.0946388244628906,-49.275936126708984,-0.10172629356384277
0.073,-61,-0.110687255859375,-0.8452911376953125,-0.5380859375,0.021193701773881912,0.02659459225833416,-0.03056829608976841,1.007364847622795,-0.19154711952063866,1.7848916196079057,-0.10167903453111649,-0.845427393913269,-0.5243223309516907,-4.751834869384766,-48.33589553833008,-9.669057846069336,high,-0.0872039794921875,99.75690460205078,165.3970489501953,176.1696319580078,11.872239112854004,-2.0946388244628906,-49.275936126708984,-0.10172629356384277
0.092,-54,-0.110687255859375,-0.8452911376953125,-0.5380859375,0.021193701773881912,0.02659459225833416,-0.03056829608976841,1.007364847622795,-0.19154711952063866,1.7848916196079057,-0.10167903453111649,-0.845427393913269,-0.5243223309516907,-4.751834869384766,-48.33589553833008,-9.669057846069336,high,-0.0872039794921875,99.75690460205078,165.3970489501953,176.1696319580078,11.872239112854004,-2.0946388244628906,-49.275936126708984,-0.10172629356384277
0.096,-54,-0.110687255859375,-0.8452911376953125,-0.5380859375,0.021193701773881912,0.02659459225833416,-0.03056829608976841,1.007364847622795,-0.19154711952063866,1.7848916196079057,-0.10167903453111649,-0.845427393913269,-0.5243223309516907,-4.751834869384766,-48.33589553833008,-9.669057846069336,high,-0.0872039794921875,99.75690460205078,165.3970489501953,176.1696319580078,11.872239112854004,-2.0946388244628906,-49.275936126708984,-0.10172629356384277
