Time,BT,Acc1,Acc2,Acc3,Gyr1,Gyr2,Gyr3,Att1,Att2,Att3,Gra1,Gra2,Gra3,Mag1,Mag2,Mag3,Mag4,Alt1,Alt2,Hea1,Hea2,Hea3,Hea4,Hea5,Hea6
0.000,-55,0.0233001708984375,-0.7815093994140625,-0.6460418701171875,-0.0396113246679306,-0.19383472204208374,-0.13927054405212402,0.879436404351857,0.05921174469267459,2.3923162593468446,0.037730488926172256,-0.7703796625137329,-0.6364680528640747,-18.101150512695312,-45.972389221191406,-16.00439453125,high,-0.03963470458984375,101.0150146484375,124.83250427246094,135.58438110351562,13.222949981689453,-16.069976806640625,-47.25067901611328,-13.65728759765625
0.002,-55,0.0233001708984375,-0.7815093994140625,-0.6460418701171875,-0.0396113246679306,-0.19383472204208374,-0.13927054405212402,0.879436404351857,0.05921174469267459,2.3923162593468446,0.037730488926172256,-0.7703796625137329,-0.6364680528640747,-18.101150512695312,-45.972389221191406,-16.00439453125,high,-0.03963470458984375,101.0150146484375,124.83250427246094,135.58438110351562,13.222949981689453,-16.069976806640625,-47.25067901611328,-13.65728759765625
0.029,-56,0.0233001708984375,-0.7815093994140625,-0.6460418701171875,-0.0396113246679306,-0.19383472204208374,-0.13927054405212402,0.879436404351857,0.05921174469267459,2.3923162593468446,0.037730488926172256,-0.7703796625137329,-0.6364680528640747,-18.101150512695312,-45.972389221191406,-16.00439453125,high,-0.03963470458984375,101.0150146484375,124.83250427246094,135.58438110351562,13.222949981689453,-16.069976806640625,-47.25067901611328,-13.65728759765625
0.031,-56,0.0233001708984375,-0.7815093994140625,-0.6460418701171875,-0.0396113246679306,-0.19383472204208374,-0.13927054405212402,0.879436404351857,0.05921174469267459,2.3923162593468446,0.037730488926172256,-0.7703796625137329,-0.6364680528640747,-18.101150512695312,-45.972389221191406,-16.00439453125,high,-0.03963470458984375,101.0150146484375,124.83250427246094,135.58438110351562,13.222949981689453,-16.069976806640625,-47.25067901611328,-13.65728759765625
0.064,-54,0.0233001708984375,-0.7815093994140625,-0.6460418701171875,-0.0396113246679306,-0.19383472204208374,-0.13927054405212402,0.879436404351857,0.05921174469267459,2.3923162593468446,0.037730488926172256,-0.7703796625137329,-0.6364680528640747,-18.101150512695312,-45.972389221191406,-16.00439453125,high,-0.03963470458984375,101.0150146484375,124.83250427246094,135.58438110351562,13.222949981689453,-16.069976806640625,-47.25067901611328,-13.65728759765625
0.067,-54,0.0233001708984375,-0.7815093994140625,-0.6460418701171875,-0.0396113246679306,-0.19383472204208374,-0.13927054405212402,0.879436404351857,0.05921174469267459,2.3923162593468446,0.037730488926172256,-0.7703796625137329,-0.6364680528640747,-18.101150512695312,-45.972389221191406,-16.00439453125,high,-0.03963470458984375,101.0150146484375,124.83250427246094,135.58438110351562,13.222949981689453,-16.069976806640625,-47.25067901611328,-13.65728759765625
0.084,-54,0.0233001708984375,-0.7815093994140625,-0.6460418701171875,-0.0396113246679306,-0.19383472204208374,-0.13927054405212402,0.879436404351857,0.05921174469267459,2.3923162593468446,0.037730488926172256,-0.7703796625137329,-0.6364680528640747,-18.101150512695312,-45.972389221191406,-16.00439453125,high,-0.03963470458984375,101.0150146484375,124.83250427246094,135.58438110351562,13.222949981689453,-16.069976806640625,-47.25067901611328,-13.65728759765625
0.086,-54,0.0233001708984375,-0.7815093994140625,-0.6460418701171875,-0.0396113246679306,-0.19383472204208374,-0.13927054405212402,0.879436404351857,0.05921174469267459,2.3923162593468446,0.037730488926172256,-0.7703796625137329,-0.6364680528640747,-18.101150512695312,-45.972389221191406,-16.00439453125,high,-0.03963470458984375,101.0150146484375,124.83250427246094,135.58438110351562,13.222949981689453,-16.069976806640625,-47.25067901611328,-13.65728759765625
0.088,-54,0.0233001708984375,-0.7815093994140625,-0.6460418701171875,-0.0396113246679306,-0.19383472204208374,-0.13927054405212402,0.879436404351857,0.05921174469267459,2.3923162593468446,0.037730488926172256,-0.7703796625137329,-0.6364680528640747,-18.101150512695312,-45.972389221191406,-16.00439453125,high,-0.03963470458984375,101.0150146484375,124.83250427246094,135.58438110351562,13.222949981689453,-16.069976806640625,-47.25067901611328,-13.65728759765625
0.088,-54,0.0233001708984375,-0.7815093994140625,-0.6460418701171875,-0.0396113246679306,-0.19383472204208374,-0.13927054405212402,0.879436404351857,0.05921174469267459,2.3923162593468446,0.037730488926172256,-0.7703796625137329,-0.6364680528640747,-18.101150512695312,-45.972389221191406,-16.00439453125,high,-0.03963470458984375,101.0150146484375,124.83250427246094,135.58438110351562,13.222949981689453,-16.069976806640625,-47.25067901611328,-13.65728759765625
