Time,BT,Acc1,Acc2,Acc3,Gyr1,Gyr2,Gyr3,Att1,Att2,Att3,Gra1,Gra2,Gra3,Mag1,Mag2,Mag3,Mag4,Alt1,Alt2,Hea1,Hea2,Hea3,Hea4,Hea5,Hea6
0.000,-69,-0.05377197265625,-0.996917724609375,-0.0720672607421875,-0.09448815882205963,-0.012716327793896198,-0.01625380478799343,1.4766371784392345,-0.8579530803817894,2.2388445272198707,-0.07112700492143631,-0.9955703020095825,-0.06148819997906685,0.8311538696289062,-44.22792434692383,14.534506797790527,high,-0.1109771728515625,99.76570892333984,43.737823486328125,54.51040267944336,11.960104942321777,-14.155710220336914,-40.220767974853516,-19.031124114990234
0.002,-69,-0.05377197265625,-0.996917724609375,-0.0720672607421875,-0.09448815882205963,-0.012716327793896198,-0.01625380478799343,1.4766371784392345,-0.8579530803817894,2.2388445272198707,-0.07112700492143631,-0.9955703020095825,-0.06148819997906685,0.8311538696289062,-44.22792434692383,14.534506797790527,high,-0.1109771728515625,99.76570892333984,43.737823486328125,54.51040267944336,11.960104942321777,-14.155710220336914,-40.220767974853516,-19.031124114990234
0.083,-69,-0.05377197265625,-0.996917724609375,-0.0720672607421875,-0.09448815882205963,-0.012716327793896198,-0.01625380478799343,1.4766371784392345,-0.8579530803817894,2.2388445272198707,-0.07112700492143631,-0.9955703020095825,-0.06148819997906685,0.8311538696289062,-44.22792434692383,14.534506797790527,high,-0.1109771728515625,99.76570892333984,43.737823486328125,54.51040267944336,11.960104942321777,-14.155710220336914,-40.220767974853516,-19.031124114990234
0.236,-69,-0.05377197265625,-0.996917724609375,-0.0720672607421875,-0.09448815882205963,-0.012716327793896198,-0.01625380478799343,1.4766371784392345,-0.8579530803817894,2.2388445272198707,-0.07112700492143631,-0.9955703020095825,-0.06148819997906685,0.8311538696289062,-44.22792434692383,14.534506797790527,high,-0.1109771728515625,99.76570892333984,43.737823486328125,54.51040267944336,11.960104942321777,-14.155710220336914,-40.220767974853516,-19.031124114990234
0.240,-69,-0.05377197265625,-0.996917724609375,-0.0720672607421875,-0.09448815882205963,-0.012716327793896198,-0.01625380478799343,1.4766371784392345,-0.8579530803817894,2.2388445272198707,-0.07112700492143631,-0.9955703020095825,-0.06148819997906685,0.8311538696289062,-44.22792434692383,14.534506797790527,high,-0.1109771728515625,99.76570892333984,43.737823486328125,54.51040267944336,11.960104942321777,-14.155710220336914,-40.220767974853516,-19.031124114990234
0.244,-69,-0.05377197265625,-0.996917724609375,-0.0720672607421875,-0.09448815882205963,-0.012716327793896198,-0.01625380478799343,1.4766371784392345,-0.8579530803817894,2.2388445272198707,-0.07112700492143631,-0.9955703020095825,-0.06148819997906685,0.8311538696289062,-44.22792434692383,14.534506797790527,high,-0.1109771728515625,99.76570892333984,43.737823486328125,54.51040267944336,11.960104942321777,-14.155710220336914,-40.220767974853516,-19.031124114990234
0.246,-69,-0.05377197265625,-0.996917724609375,-0.0720672607421875,-0.09448815882205963,-0.012716327793896198,-0.01625380478799343,1.4766371784392345,-0.8579530803817894,2.2388445272198707,-0.07112700492143631,-0.9955703020095825,-0.06148819997906685,0.8311538696289062,-44.22792434692383,14.534506797790527,high,-0.1109771728515625,99.76570892333984,43.737823486328125,54.51040267944336,11.960104942321777,-14.155710220336914,-40.220767974853516,-19.031124114990234
0.248,-69,-0.05377197265625,-0.996917724609375,-0.0720672607421875,-0.09448815882205963,-0.012716327793896198,-0.01625380478799343,1.4766371784392345,-0.8579530803817894,2.2388445272198707,-0.07112700492143631,-0.9955703020095825,-0.06148819997906685,0.8311538696289062,-44.22792434692383,14.534506797790527,high,-0.1109771728515625,99.76570892333984,43.737823486328125,54.51040267944336,11.960104942321777,-14.155710220336914,-40.220767974853516,-19.031124114990234
0.249,-69,-0.05377197265625,-0.996917724609375,-0.0720672607421875,-0.09448815882205963,-0.012716327793896198,-0.01625380478799343,1.4766371784392345,-0.8579530803817894,2.2388445272198707,-0.07112700492143631,-0.9955703020095825,-0.06148819997906685,0.8311538696289062,-44.22792434692383,14.534506797790527,high,-0.1109771728515625,99.76570892333984,43.737823486328125,54.51040267944336,11.960104942321777,-14.155710220336914,-40.220767974853516,-19.031124114990234
0.250,-69,-0.05377197265625,-0.996917724609375,-0.0720672607421875,-0.09448815882205963,-0.012716327793896198,-0.01625380478799343,1.4766371784392345,-0.8579530803817894,2.2388445272198707,-0.07112700492143631,-0.9955703020095825,-0.06148819997906685,0.9394607543945312,-44.230777740478516,14.823142051696777,high,-0.1109771728515625,99.76570892333984,43.737823486328125,54.51040267944336,11.960104942321777,-14.155710220336914,-40.220767974853516,-19.031124114990234
