Time,BT,Acc1,Acc2,Acc3,Gyr1,Gyr2,Gyr3,Att1,Att2,Att3,Gra1,Gra2,Gra3,Mag1,Mag2,Mag3,Mag4,Alt1,Alt2,Hea1,Hea2,Hea3,Hea4,Hea5,Hea6
0.000,-55,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.004,-54,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.026,-54,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.032,-49,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.036,-49,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.062,-49,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.066,-49,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.090,-51,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.093,-51,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.126,-54,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.130,-55,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.144,-55,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.158,-49,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.161,-49,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.166,-49,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.178,-49,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.179,-49,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.181,-49,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.223,-52,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.227,-52,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.256,-54,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.259,-55,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.288,-49,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.291,-49,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.319,-52,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.322,-51,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.350,-54,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.353,-55,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.384,-55,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.387,-55,-0.09600830078125,-0.1678009033203125,-0.9640045166015625,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.394,-55,-0.0891265869140625,-0.1677398681640625,-0.976043701171875,-0.02123578079044819,0.02623213641345501,0.013856959529221058,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.416,-55,-0.0891265869140625,-0.1677398681640625,-0.976043701171875,0.05879061296582222,0.007755657657980919,0.04247475415468216,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.418,-49,-0.0891265869140625,-0.1677398681640625,-0.976043701171875,0.05879061296582222,0.007755657657980919,0.04247475415468216,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.421,-49,-0.0891265869140625,-0.1677398681640625,-0.976043701171875,0.05879061296582222,0.007755657657980919,0.04247475415468216,0.17202058827708044,-0.08366054308019331,2.585156792174053,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.427,-49,-0.0891265869140625,-0.1677398681640625,-0.976043701171875,0.05879061296582222,0.007755657657980919,0.04247475415468216,0.17115678730071324,-0.08465397059838464,2.5918405853886237,-0.08232967555522919,-0.17117346823215485,-0.9817950129508972,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.427,-49,-0.0891265869140625,-0.1677398681640625,-0.976043701171875,0.05879061296582222,0.007755657657980919,0.04247475415468216,0.17115678730071324,-0.08465397059838464,2.5918405853886237,-0.08331744372844696,-0.17032234370708466,-0.9818597435951233,-18.90301513671875,-18.98788070678711,-37.5404052734375,high,-0.0396728515625,79.22045135498047,,,,,,
0.428,-49,-0.0891265869140625,-0.1677398681640625,-0.976043701171875,0.05879061296582222,0.007755657657980919,0.04247475415468216,0.17115678730071324,-0.08465397059838464,2.5918405853886237,-0.08331744372844696,-0.17032234370708466,-0.9818597435951233,-18.962736129760742,-19.048311233520508,-37.42644500732422,high,-0.0396728515625,79.22045135498047,,,,,,
0.432,-49,-0.0891265869140625,-0.1677398681640625,-0.976043701171875,0.05879061296582222,0.007755657657980919,0.04247475415468216,0.17115678730071324,-0.08465397059838464,2.5918405853886237,-0.08331744372844696,-0.17032234370708466,-0.9818597435951233,-18.962736129760742,-19.048311233520508,-37.42644500732422,high,-0.0396728515625,79.22045135498047,,,,,,
0.449,-49,-0.0891265869140625,-0.1677398681640625,-0.976043701171875,0.05879061296582222,0.007755657657980919,0.04247475415468216,0.17115678730071324,-0.08465397059838464,2.5918405853886237,-0.08331744372844696,-0.17032234370708466,-0.9818597435951233,-18.962736129760742,-19.048311233520508,-37.42644500732422,high,-0.0396728515625,79.22045135498047,,,,,,
0.450,-52,-0.0891265869140625,-0.1677398681640625,-0.976043701171875,0.05879061296582222,0.007755657657980919,0.04247475415468216,0.17115678730071324,-0.08465397059838464,2.5918405853886237,-0.08331744372844696,-0.17032234370708466,-0.9818597435951233,-18.962736129760742,-19.048311233520508,-37.42644500732422,high,-0.0396728515625,79.22045135498047,,,,,,
0.452,-52,-0.0891265869140625,-0.1677398681640625,-0.976043701171875,0.05879061296582222,0.007755657657980919,0.04247475415468216,0.17115678730071324,-0.08465397059838464,2.5918405853886237,-0.08331744372844696,-0.17032234370708466,-0.9818597435951233,-18.962736129760742,-19.048311233520508,-37.42644500732422,high,-0.0396728515625,79.22045135498047,,,,,,
