Time,BT,Acc1,Acc2,Acc3,Gyr1,Gyr2,Gyr3,Att1,Att2,Att3,Gra1,Gra2,Gra3,Mag1,Mag2,Mag3,Mag4,Alt1,Alt2,Hea1,Hea2,Hea3,Hea4,Hea5,Hea6
0.000,-55,0.089996337890625,-0.43707275390625,-0.942474365234375,0.10260014235973358,0.3369380831718445,0.2769586443901062,0.36594377412021034,0.07416018534175918,1.7879311865357972,0.06918631494045258,-0.3578307330608368,-0.9312198758125305,-0.6847543716430664,-35.06608963012695,-33.77934265136719,high,0.0,101.15843200683594,156.89088439941406,167.6469268798828,12.45285701751709,-0.5434482097625732,-35.01854705810547,-34.002342224121094
0.004,-55,0.089996337890625,-0.43707275390625,-0.942474365234375,0.10260014235973358,0.3369380831718445,0.2769586443901062,0.36594377412021034,0.07416018534175918,1.7879311865357972,0.06918631494045258,-0.3578307330608368,-0.9312198758125305,-0.6847543716430664,-35.06608963012695,-33.77934265136719,high,0.0,101.15843200683594,156.89088439941406,167.6469268798828,12.45285701751709,-0.5434482097625732,-35.01854705810547,-34.002342224121094
0.034,-52,0.089996337890625,-0.43707275390625,-0.942474365234375,0.10260014235973358,0.3369380831718445,0.2769586443901062,0.36594377412021034,0.07416018534175918,1.7879311865357972,0.06918631494045258,-0.3578307330608368,-0.9312198758125305,-0.6847543716430664,-35.06608963012695,-33.77934265136719,high,0.0,101.15843200683594,156.89088439941406,167.6469268798828,12.45285701751709,-0.5434482097625732,-35.01854705810547,-34.002342224121094
0.038,-52,0.089996337890625,-0.43707275390625,-0.942474365234375,0.10260014235973358,0.3369380831718445,0.2769586443901062,0.36594377412021034,0.07416018534175918,1.7879311865357972,0.06918631494045258,-0.3578307330608368,-0.9312198758125305,-0.6847543716430664,-35.06608963012695,-33.77934265136719,high,0.0,101.15843200683594,156.89088439941406,167.6469268798828,12.45285701751709,-0.5434482097625732,-35.01854705810547,-34.002342224121094
0.066,-54,0.089996337890625,-0.43707275390625,-0.942474365234375,0.10260014235973358,0.3369380831718445,0.2769586443901062,0.36594377412021034,0.07416018534175918,1.7879311865357972,0.06918631494045258,-0.3578307330608368,-0.9312198758125305,-0.6847543716430664,-35.06608963012695,-33.77934265136719,high,0.0,101.15843200683594,156.89088439941406,167.6469268798828,12.45285701751709,-0.5434482097625732,-35.01854705810547,-34.002342224121094
0.070,-54,0.089996337890625,-0.43707275390625,-0.942474365234375,0.10260014235973358,0.3369380831718445,0.2769586443901062,0.36594377412021034,0.07416018534175918,1.7879311865357972,0.06918631494045258,-0.3578307330608368,-0.9312198758125305,-0.6847543716430664,-35.06608963012695,-33.77934265136719,high,0.0,101.15843200683594,156.89088439941406,167.6469268798828,12.45285701751709,-0.5434482097625732,-35.01854705810547,-34.002342224121094
0.102,-58,0.089996337890625,-0.43707275390625,-0.942474365234375,0.10260014235973358,0.3369380831718445,0.2769586443901062,0.36594377412021034,0.07416018534175918,1.7879311865357972,0.06918631494045258,-0.3578307330608368,-0.9312198758125305,-0.6847543716430664,-35.06608963012695,-33.77934265136719,high,0.0,101.15843200683594,156.89088439941406,167.6469268798828,12.45285701751709,-0.5434482097625732,-35.01854705810547,-34.002342224121094
0.106,-57,0.089996337890625,-0.43707275390625,-0.942474365234375,0.10260014235973358,0.3369380831718445,0.2769586443901062,0.36594377412021034,0.07416018534175918,1.7879311865357972,0.06918631494045258,-0.3578307330608368,-0.9312198758125305,-0.6847543716430664,-35.06608963012695,-33.77934265136719,high,0.0,101.15843200683594,156.89088439941406,167.6469268798828,12.45285701751709,-0.5434482097625732,-35.01854705810547,-34.002342224121094
0.157,-57,0.089996337890625,-0.43707275390625,-0.942474365234375,0.10260014235973358,0.3369380831718445,0.2769586443901062,0.36594377412021034,0.07416018534175918,1.7879311865357972,0.06918631494045258,-0.3578307330608368,-0.9312198758125305,-0.6847543716430664,-35.06608963012695,-33.77934265136719,high,0.0,101.15843200683594,156.89088439941406,167.6469268798828,12.45285701751709,-0.5434482097625732,-35.01854705810547,-34.002342224121094
0.170,-53,0.089996337890625,-0.43707275390625,-0.942474365234375,0.10260014235973358,0.3369380831718445,0.2769586443901062,0.36594377412021034,0.07416018534175918,1.7879311865357972,0.06918631494045258,-0.3578307330608368,-0.9312198758125305,-0.6847543716430664,-35.06608963012695,-33.77934265136719,high,0.0,101.15843200683594,156.89088439941406,167.6469268798828,12.45285701751709,-0.5434482097625732,-35.01854705810547,-34.002342224121094
