Time,BT,Acc1,Acc2,Acc3,Gyr1,Gyr2,Gyr3,Att1,Att2,Att3,Gra1,Gra2,Gra3,Mag1,Mag2,Mag3,Mag4,Alt1,Alt2,Hea1,Hea2,Hea3,Hea4,Hea5,Hea6
0.000,-65,-0.028411865234375,-0.9654083251953125,-0.202178955078125,0.0065681543201208115,0.015528892166912556,-0.0398949533700943,1.3691793360719784,-0.1040590167468622,2.049179956821182,-0.020800648257136345,-0.9797440767288208,-0.199170783162117,-7.806556701660156,-51.951194763183594,7.57086181640625,high,-0.06610107421875,94.96234130859375,212.2823486328125,209.10472106933594,12.271763801574707,9.364761352539062,-52.129180908203125,4.148101806640625
0.002,-65,-0.028411865234375,-0.9654083251953125,-0.202178955078125,0.0065681543201208115,0.015528892166912556,-0.0398949533700943,1.3691793360719784,-0.1040590167468622,2.049179956821182,-0.020800648257136345,-0.9797440767288208,-0.199170783162117,-7.806556701660156,-51.951194763183594,7.57086181640625,high,-0.06610107421875,94.96234130859375,212.2823486328125,209.10472106933594,12.271763801574707,9.364761352539062,-52.129180908203125,4.148101806640625
0.019,-65,-0.028411865234375,-0.9654083251953125,-0.202178955078125,0.0065681543201208115,0.015528892166912556,-0.0398949533700943,1.3691793360719784,-0.1040590167468622,2.049179956821182,-0.020800648257136345,-0.9797440767288208,-0.199170783162117,-7.806556701660156,-51.951194763183594,7.57086181640625,high,-0.06610107421875,94.96234130859375,212.2823486328125,209.10472106933594,12.271763801574707,9.364761352539062,-52.129180908203125,4.148101806640625
0.021,-65,-0.028411865234375,-0.9654083251953125,-0.202178955078125,0.0065681543201208115,0.015528892166912556,-0.0398949533700943,1.3691793360719784,-0.1040590167468622,2.049179956821182,-0.020800648257136345,-0.9797440767288208,-0.199170783162117,-7.806556701660156,-51.951194763183594,7.57086181640625,high,-0.06610107421875,94.96234130859375,212.2823486328125,209.10472106933594,12.271763801574707,9.364761352539062,-52.129180908203125,4.148101806640625
0.023,-65,-0.028411865234375,-0.9654083251953125,-0.202178955078125,0.0065681543201208115,0.015528892166912556,-0.0398949533700943,1.3691793360719784,-0.1040590167468622,2.049179956821182,-0.020800648257136345,-0.9797440767288208,-0.199170783162117,-7.806556701660156,-51.951194763183594,7.57086181640625,high,-0.06610107421875,94.96234130859375,212.2823486328125,209.10472106933594,12.271763801574707,9.364761352539062,-52.129180908203125,4.148101806640625
0.023,-65,-0.028411865234375,-0.9654083251953125,-0.202178955078125,0.0065681543201208115,0.015528892166912556,-0.0398949533700943,1.3691793360719784,-0.1040590167468622,2.049179956821182,-0.020800648257136345,-0.9797440767288208,-0.199170783162117,-7.806556701660156,-51.951194763183594,7.57086181640625,high,-0.06610107421875,94.96234130859375,212.2823486328125,209.10472106933594,12.271763801574707,9.364761352539062,-52.129180908203125,4.148101806640625
0.024,-65,-0.028411865234375,-0.9654083251953125,-0.202178955078125,0.0065681543201208115,0.015528892166912556,-0.0398949533700943,1.3691793360719784,-0.1040590167468622,2.049179956821182,-0.020800648257136345,-0.9797440767288208,-0.199170783162117,-7.806556701660156,-51.951194763183594,7.57086181640625,high,-0.06610107421875,94.96234130859375,212.2823486328125,209.10472106933594,12.271763801574707,9.364761352539062,-52.129180908203125,4.148101806640625
0.068,-73,-0.028411865234375,-0.9654083251953125,-0.202178955078125,0.0065681543201208115,0.015528892166912556,-0.0398949533700943,1.3691793360719784,-0.1040590167468622,2.049179956821182,-0.020800648257136345,-0.9797440767288208,-0.199170783162117,-7.806556701660156,-51.951194763183594,7.57086181640625,high,-0.06610107421875,94.96234130859375,212.2823486328125,209.10472106933594,12.271763801574707,9.364761352539062,-52.129180908203125,4.148101806640625
0.070,-72,-0.028411865234375,-0.9654083251953125,-0.202178955078125,0.0065681543201208115,0.015528892166912556,-0.0398949533700943,1.3691793360719784,-0.1040590167468622,2.049179956821182,-0.020800648257136345,-0.9797440767288208,-0.199170783162117,-7.806556701660156,-51.951194763183594,7.57086181640625,high,-0.06610107421875,94.96234130859375,212.2823486328125,209.10472106933594,12.271763801574707,9.364761352539062,-52.129180908203125,4.148101806640625
0.172,-73,-0.028411865234375,-0.9654083251953125,-0.202178955078125,0.0065681543201208115,0.015528892166912556,-0.0398949533700943,1.3691793360719784,-0.1040590167468622,2.049179956821182,-0.020800648257136345,-0.9797440767288208,-0.199170783162117,-7.806556701660156,-51.951194763183594,7.57086181640625,high,-0.06610107421875,94.96234130859375,212.2823486328125,209.10472106933594,12.271763801574707,9.364761352539062,-52.129180908203125,4.148101806640625
0.174,-74,-0.028411865234375,-0.9654083251953125,-0.202178955078125,0.0065681543201208115,0.015528892166912556,-0.0398949533700943,1.3691793360719784,-0.1040590167468622,2.049179956821182,-0.020800648257136345,-0.9797440767288208,-0.199170783162117,-7.806556701660156,-51.951194763183594,7.57086181640625,high,-0.06610107421875,94.96234130859375,212.2823486328125,209.10472106933594,12.271763801574707,9.364761352539062,-52.129180908203125,4.148101806640625
